meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
FINA/Arena Swimming World Cup 2011,01:51.62,18/10/2011,Men 200 Butterfly SCM Male,JPN,Japan,"SANO, Hidemasa",M,28/05/1984,,,186,189,934,Moscow,RUS
ISL 2020 Season - Match 8,01:51.64,06/11/2020,Men 200 Butterfly SCM Male,JPN,Japan,"KOBORI, Yuki",M,25/11/1993,,,190,190,911,Budapest,HUN
FINA/MASTBANK Swimming World Cup 2014,01:51.64,31/08/2014,Men 200 Butterfly SCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,190,191,,Dubai,UAE
FINA/Arena Swimming World Cup 2009,01:51.64,14/11/2009,Men 200 Butterfly SCM Male,BRA,Brazil,"CASTRO, Frederico",M,20/10/1989,,,190,192,988,Berlin,GER
14th FINA World Swimming Championships (25m) 2018,01:51.66,11/12/2018,Men 200 Butterfly SCM Male,USA,United States of America,"HARTING, Zach",M,27/08/1997,,,193,193,919,Hangzhou,CHN
11th FINA World Swimming Championships (25m) 2012,01:51.66,16/12/2012,Men 200 Butterfly SCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,193,194,933,Istanbul,TUR
10th FINA World Swimming Championships (25m) 2010,01:51.67,19/12/2010,Men 200 Butterfly SCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,195,195,932,Dubai,UAE
13th FINA World Swimming Championships (25m) 2016,01:51.68,06/12/2016,Men 200 Butterfly SCM Male,USA,United States of America,"CLARK, Pace Talmadge",M,24/06/1994,,,196,196,918,Windsor,CAN
FINA Swimming World Cup 2013,01:51.70,13/11/2013,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,197,197,932,Beijing,CHN
FINA Swimming World Cup 2013,01:51.70,09/11/2013,Men 200 Butterfly SCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,197,198,932,Tokyo,JPN
FINA/Arena Swimming World Cup 2012,01:51.71,02/10/2012,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,199,199,931,Dubai,UAE
European Short Course Swimming Championships 2011,01:51.71,10/12/2011,Men 200 Butterfly SCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,199,200,931,Szczecin,POL
