meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
18th Asian Games 2018,01:54.53,19/08/2018,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,114,114,922,Jakarta,INA
Asian Swimming Championships 2016,01:54.53,19/11/2016,Men 200 Butterfly LCM Male,JPN,Japan,"SAKAI, Masato",M,06/06/1995,,,114,115,922,Tokyo,JPN
Olympic Games London 2012,01:54.53,30/07/2012,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,114,116,922,London,GBR
Inter College Swimming Champs,01:54.54,01/09/2017,Men 200 Butterfly LCM Male,JPN,Japan,"SAKAI, Masato",M,06/06/1995,,,117,117,922,Tokyo,JPN
2015 U.S. National Champs,01:54.54,07/08/2015,Men 200 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,117,118,922,San Antonio,USA
18th FINA World Championships 2019,01:54.56,23/07/2019,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,119,119,922,Gwangju,KOR
SA National Aquatic Championships 2014,01:54.56,07/04/2014,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,119,120,922,Durban,RSA
Olympic Games Athens 2004,01:54.56,17/08/2004,Men 200 Butterfly LCM Male,JPN,Japan,"YAMAMOTO, Takashi",M,23/07/1978,,,119,121,,Athens,GRE
2012 US Santa Clara International,01:54.57,31/05/2012,Men 200 Butterfly LCM Male,JPN,Japan,"MATSUDA, Takeshi",M,23/06/1984,,,122,122,921,Santa Clara,USA
13th FINA World Championships 2009,01:54.57,28/07/2009,Men 200 Butterfly LCM Male,BRA,Brazil,"ALMEIDA, Kaio Marcio",M,19/10/1984,,,122,123,,Rome,ITA
2017 Summer National Champs,01:54.58,27/06/2017,Men 200 Butterfly LCM Male,USA,United States of America,"CLARK, Pace Talmadge",M,24/06/1994,,,124,124,921,Indianapolis,USA
13th FINA World Championships 2009,01:54.58,28/07/2009,Men 200 Butterfly LCM Male,GBR,Great Britain,"ROCK, Michael",M,13/03/1987,,,124,125,,Rome,ITA
9th FINA World Championships 2001,01:54.58,24/07/2001,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,124,126,,Fukuoka,JPN
Olympic Games Beijing 2008,01:54.60,13/08/2008,Men 200 Butterfly LCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,127,127,978,Beijing,CHN
2010 Telstra Australian Championships,01:54.61,16/03/2010,Men 200 Butterfly LCM Male,AUS,Australia,"D'ARCY, Nick",M,23/07/1987,,,128,128,921,Sydney,AUS
French Championships 2002,01:54.62,18/04/2002,Men 200 Butterfly LCM Male,FRA,France,"ESPOSITO, Franck",M,13/04/1971,,,129,129,,Chalon-sur-Sanone,FRA
2018 Summer Nats,01:54.63,25/07/2018,Men 200 Butterfly LCM Male,USA,United States of America,"WRIGHT, Justin",M,03/06/1996,,,130,130,920,"Irvine, CA",USA
Inter College Swimming Champs,01:54.63,01/09/2017,Men 200 Butterfly LCM Male,JPN,Japan,"HOROMURA, Nao",M,31/01/1999,,,130,131,920,Tokyo,JPN
Japan Swim 2015,01:54.63,10/04/2015,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,130,132,920,Tokyo,JPN
Campionati Italiani Assoluti 2019,01:54.64,02/04/2019,Men 200 Butterfly LCM Male,ITA,Italy,"BURDISSO, Federico",M,20/09/2001,,,133,133,920,Riccione,ITA
Olympic Games Beijing 2008,01:54.65,11/08/2008,Men 200 Butterfly LCM Male,BRA,Brazil,"ALMEIDA, Kaio Marcio",M,19/10/1984,,,134,134,977,Beijing,CHN
